Date,Country_Region,Population,New_Confirmed_Cases,Remaining_Confirmed_Cases,Total_Confirmed_Cases,New_Recovered_Cases,Total_Recovered_Cases,New_Fatalities,Total_Fatalities
2020-01-22,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-23,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-24,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-25,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-26,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-27,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-28,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-29,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-30,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-01-31,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-01,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-02,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-03,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-04,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-05,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-06,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-07,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-08,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-09,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-10,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-11,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-12,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-13,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-14,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-15,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-16,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-17,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-18,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-19,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-20,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-21,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-22,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-23,Afghanistan,37172386.0,0,0,0,0,0,0,0
2020-02-24,Afghanistan,37172386.0,1,1,1,0,0,0,0
2020-02-25,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-02-26,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-02-27,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-02-28,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-02-29,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-01,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-02,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-03,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-04,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-05,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-06,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-07,Afghanistan,37172386.0,0,1,1,0,0,0,0
2020-03-08,Afghanistan,37172386.0,3,4,4,0,0,0,0
2020-03-09,Afghanistan,37172386.0,0,4,4,0,0,0,0
2020-03-10,Afghanistan,37172386.0,1,5,5,0,0,0,0
2020-03-11,Afghanistan,37172386.0,2,7,7,0,0,0,0
2020-03-12,Afghanistan,37172386.0,0,7,7,0,0,0,0
2020-03-13,Afghanistan,37172386.0,0,7,7,0,0,0,0
2020-03-14,Afghanistan,37172386.0,4,11,11,0,0,0,0
2020-03-15,Afghanistan,37172386.0,5,16,16,0,0,0,0
2020-03-16,Afghanistan,37172386.0,5,20,21,1,1,0,0
2020-03-17,Afghanistan,37172386.0,1,21,22,0,1,0,0
2020-03-18,Afghanistan,37172386.0,0,21,22,0,1,0,0
2020-03-19,Afghanistan,37172386.0,0,21,22,0,1,0,0
2020-03-20,Afghanistan,37172386.0,2,23,24,0,1,0,0
2020-03-21,Afghanistan,37172386.0,0,23,24,0,1,0,0
2020-03-22,Afghanistan,37172386.0,16,38,40,0,1,1,1
2020-03-23,Afghanistan,37172386.0,0,38,40,0,1,0,1
2020-03-24,Afghanistan,37172386.0,34,72,74,0,1,0,1
2020-03-25,Afghanistan,37172386.0,10,80,84,1,2,1,2
2020-03-26,Afghanistan,37172386.0,10,88,94,0,2,2,4
2020-03-27,Afghanistan,37172386.0,16,104,110,0,2,0,4
2020-03-28,Afghanistan,37172386.0,0,104,110,0,2,0,4
2020-03-29,Afghanistan,37172386.0,10,114,120,0,2,0,4
2020-03-30,Afghanistan,37172386.0,50,164,170,0,2,0,4
2020-03-31,Afghanistan,37172386.0,4,165,174,3,5,0,4
2020-04-01,Afghanistan,37172386.0,63,228,237,0,5,0,4
2020-04-02,Afghanistan,37172386.0,36,257,273,5,10,2,6
2020-01-22,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-23,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-24,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-25,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-26,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-27,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-28,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-29,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-30,Albania,2866376.0,0,0,0,0,0,0,0
2020-01-31,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-01,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-02,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-03,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-04,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-05,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-06,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-07,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-08,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-09,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-10,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-11,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-12,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-13,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-14,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-15,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-16,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-17,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-18,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-19,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-20,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-21,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-22,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-23,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-24,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-25,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-26,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-27,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-28,Albania,2866376.0,0,0,0,0,0,0,0
2020-02-29,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-01,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-02,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-03,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-04,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-05,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-06,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-07,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-08,Albania,2866376.0,0,0,0,0,0,0,0
2020-03-09,Albania,2866376.0,2,2,2,0,0,0,0
2020-03-10,Albania,2866376.0,8,10,10,0,0,0,0
2020-03-11,Albania,2866376.0,2,11,12,0,0,1,1
2020-03-12,Albania,2866376.0,11,22,23,0,0,0,1
